n,register_e_symbol,omega_lower_case,omega_upper_case,liouville_function,prime_counter,tape_cp_n_start,register_psf_out,prime_square_free_counter,tape_psf_n_start,mobius_function_mu,mertens_function,semiprime,semiprime_counter
4584,M,3,5,-1,620,M,S,2788,C,0,-2,false,1257
4585,M,3,3,-1,620,M,F,2789,C,-1,-3,false,1257
4586,M,2,2,1,620,M,F,2790,C,1,-2,true,1258
4587,M,3,3,-1,620,M,F,2791,S,-1,-3,false,1258
4588,M,3,4,1,620,M,S,2791,C,0,-3,false,1258
4589,M,2,2,1,620,M,F,2792,S,1,-2,true,1259
4590,M,4,6,1,620,L,S,2792,C,0,-2,false,1259
4591,P,1,1,-1,621,M,F,2793,S,-1,-3,false,1259
4592,M,3,6,1,621,M,S,2793,C,0,-3,false,1259
4593,M,2,2,1,621,M,F,2794,C,1,-2,true,1260
4594,M,2,2,1,621,M,F,2795,C,1,-1,true,1261
4595,M,2,2,1,621,M,F,2796,S,1,0,true,1262
4596,M,3,4,1,621,L,S,2796,C,0,0,false,1262
4597,P,1,1,-1,622,M,F,2797,S,-1,-1,false,1262
4598,M,3,4,1,622,M,S,2797,S,0,-1,false,1262
4599,M,3,4,1,622,M,S,2797,S,0,-1,false,1262
4600,M,3,6,1,622,M,S,2797,C,0,-1,false,1262
4601,M,2,2,1,622,M,F,2798,C,1,0,true,1263
4602,M,4,4,1,622,L,F,2799,C,1,1,false,1263
4603,P,1,1,-1,623,M,F,2800,S,-1,0,false,1263
4604,M,2,3,-1,623,M,S,2800,C,0,0,false,1263
4605,M,3,3,-1,623,M,F,2801,S,-1,-1,false,1263
4606,M,3,4,1,623,M,S,2801,C,0,-1,false,1263
4607,M,2,2,1,623,M,F,2802,S,1,0,true,1264
4608,M,2,11,-1,623,M,S,2802,C,0,0,false,1264
4609,M,2,2,1,623,M,F,2803,C,1,1,true,1265
4610,M,3,3,-1,623,M,F,2804,C,-1,0,false,1265
4611,M,3,3,-1,623,M,F,2805,S,-1,-1,false,1265
4612,M,2,3,-1,623,M,S,2805,C,0,-1,false,1265
